UTS,YS,EL,EL_Si,EL_Mg,EL_Sc,EL_Al
195.89883,104.00279,6.991166,7.84,0,0.7096019,91.4503981
195.89099,103.95865,6.990616,7.85,0,0.7105992,91.4394008
195.88376,103.91505,6.9900036,7.86,0,0.7115967,91.4284033
195.87668,103.8716,6.9893837,7.87,0,0.7125939,91.4174061
195.86896,103.82757,6.988817,7.88,0,0.71359134,91.40640866
195.8615,103.78379,6.988224,7.89,0,0.71458864,91.39541136
195.8544,103.74031,6.9875994,7.9,0,0.7155858,91.3844142
195.84653,103.69616,6.987056,7.91,0,0.7165834,91.3734166
195.83905,103.65233,6.9864655,7.92,0,0.7175808,91.3624192
195.83221,103.609085,6.985817,7.93,0,0.71857786,91.35142214
195.82472,103.56528,6.9852343,7.94,0,0.7195753,91.3404247
195.81747,103.52167,6.984624,7.95,0,0.7205727,91.3294273
195.80954,103.47746,6.9840755,7.96,0,0.72157,91.31843
195.80226,103.43384,6.983469,7.97,0,0.7225672,91.3074328
195.79497,103.39018,6.9828596,7.98,0,0.7235646,91.2964354
195.78793,103.346756,6.982231,7.99,0,0.72456205,91.28543795
195.78006,103.302605,6.9816895,8,0,0.72555935,91.27444065
195.77258,103.2588,6.981097,8.01,0,0.72655666,91.26344334
195.76505,103.21494,6.9805107,8.02,0,0.7275542,91.2524458
195.75821,103.17169,6.979862,8.03,0,0.7285514,91.2414486
195.7503,103.12752,6.9793215,8.04,0,0.7295487,91.2304513
195.74286,103.08372,6.978733,8.05,0,0.73054624,91.21945376
195.73563,103.04013,6.9781246,8.06,0,0.73154366,91.20845634
195.72849,102.99663,6.9774914,8.07,0,0.7325407,91.1974593
195.72058,102.95244,6.976948,8.08,0,0.73353815,91.18646185
195.71353,102.90901,6.976321,8.09,0,0.7345356,91.1754644
195.70624,102.86536,6.975712,8.1,0,0.73553276,91.16446724
